Gender,Length,Diameter,Height,Weight,Age
0,0.41,0.325,0.105,0.3635,10
0,0.38,0.305,0.095,0.2815,8
1,0.485,0.39,0.12,0.599,8
0,0.655,0.51,0.155,1.2895,11
1,0.7,0.54,0.205,1.74,13
0,0.705,0.545,0.18,1.5395,13
1,0.575,0.465,0.15,1.08,9
1,0.265,0.2,0.065,0.084,7
0,0.645,0.525,0.19,1.8085,18
0,0.57,0.495,0.16,1.0915,14
0,0.61,0.48,0.175,1.0675,15
0,0.44,0.35,0.125,0.4035,9
1,0.44,0.355,0.125,0.4775,9
1,0.67,0.54,0.175,1.482,10
0,0.625,0.5,0.175,1.273,9
1,0.605,0.49,0.155,1.153,15
1,0.625,0.47,0.17,1.1665,11
1,0.65,0.505,0.18,1.469,9
0,0.535,0.415,0.185,0.8415,15
1,0.58,0.46,0.165,1.2275,16
1,0.395,0.305,0.105,0.282,9
0,0.345,0.255,0.1,0.197,9
1,0.63,0.515,0.175,1.1955,11
0,0.75,0.565,0.215,1.938,11
0,0.45,0.36,0.11,0.447,12
0,0.575,0.46,0.165,0.9575,10
0,0.56,0.435,0.15,0.8715,9
1,0.6,0.51,0.185,1.285,9
0,0.695,0.535,0.175,1.361,10
1,0.61,0.47,0.165,1.052,9
0,0.5,0.385,0.13,0.768,13
0,0.63,0.495,0.19,1.1655,10
0,0.54,0.415,0.175,0.8975,14
1,0.465,0.375,0.11,0.5,8
0,0.6,0.475,0.18,1.162,18
0,0.53,0.415,0.115,0.5915,11
0,0.55,0.415,0.18,1.1655,9
1,0.38,0.3,0.1,0.2505,8
1,0.28,0.21,0.065,0.0905,5
1,0.295,0.215,0.075,0.129,7
1,0.67,0.525,0.165,1.6085,11
1,0.43,0.31,0.13,0.6485,9
1,0.6,0.49,0.21,1.9875,10
1,0.45,0.32,0.1,0.381,9
1,0.46,0.35,0.125,0.5165,9
0,0.555,0.44,0.155,1.016,10
1,0.63,0.515,0.17,1.385,11
1,0.59,0.445,0.14,0.931,12
0,0.595,0.43,0.21,1.5245,11
1,0.48,0.38,0.13,0.6175,12
1,0.45,0.335,0.14,0.4625,14
0,0.45,0.325,0.135,0.438,9
0,0.645,0.51,0.2,1.5675,12
0,0.46,0.375,0.12,0.4605,7
1,0.685,0.545,0.205,1.7925,9
1,0.6,0.45,0.15,0.8665,12
1,0.625,0.48,0.185,1.2065,8
0,0.405,0.325,0.11,0.3575,12
1,0.665,0.505,0.16,1.289,11
1,0.52,0.385,0.14,0.6595,9
1,0.46,0.345,0.11,0.4595,7
1,0.685,0.51,0.18,1.4545,9
1,0.47,0.365,0.12,0.612,8
0,0.49,0.365,0.145,0.6345,10
1,0.58,0.46,0.15,1.049,10
1,0.695,0.525,0.175,1.742,12
1,0.71,0.56,0.22,2.015,11
0,0.645,0.525,0.19,1.4635,19
1,0.635,0.525,0.16,1.195,12
1,0.575,0.46,0.165,0.9155,8
0,0.665,0.5,0.175,1.4355,9
0,0.44,0.345,0.17,0.4085,12
0,0.62,0.475,0.175,1.0165,10
1,0.55,0.42,0.17,0.8465,13
0,0.515,0.4,0.115,0.578,9
0,0.65,0.5,0.16,1.3825,9
0,0.62,0.49,0.16,1.056,9
1,0.37,0.28,0.095,0.2225,7
1,0.51,0.39,0.125,0.6565,10
0,0.67,0.545,0.175,1.707,13
1,0.59,0.455,0.155,0.8855,10
1,0.27,0.195,0.07,0.106,7
1,0.725,0.505,0.185,1.978,12
1,0.625,0.5,0.195,1.369,17
0,0.575,0.48,0.15,0.897,8
0,0.54,0.425,0.16,0.9455,9
0,0.58,0.435,0.14,0.953,9
1,0.53,0.41,0.165,0.732,11
1,0.59,0.475,0.145,1.053,15
1,0.58,0.47,0.165,0.927,11
1,0.65,0.495,0.16,1.2075,10
1,0.585,0.455,0.225,1.055,15
0,0.55,0.47,0.15,0.9205,10
1,0.525,0.4,0.17,0.7305,11
0,0.675,0.55,0.19,1.551,13
0,0.45,0.335,0.105,0.425,9
1,0.545,0.45,0.15,0.7805,8
1,0.635,0.48,0.19,1.467,15
0,0.64,0.505,0.19,1.2355,14
1,0.535,0.41,0.15,0.8105,11
1,0.7,0.55,0.195,1.6245,13
0,0.545,0.41,0.125,0.6935,11
1,0.525,0.415,0.16,0.6445,12
1,0.645,0.5,0.18,1.461,11
1,0.57,0.46,0.14,0.9535,12
0,0.64,0.525,0.175,1.382,9
1,0.57,0.42,0.155,1.008,13
1,0.59,0.465,0.165,1.115,10
1,0.465,0.36,0.105,0.488,10
0,0.605,0.495,0.19,1.437,15
1,0.64,0.51,0.17,1.3715,10
1,0.655,0.49,0.175,1.3585,10
0,0.47,0.36,0.1,0.4705,8
0,0.61,0.495,0.19,1.213,15
0,0.62,0.485,0.22,1.511,17
1,0.585,0.455,0.125,1.027,17
1,0.175,0.135,0.04,0.0305,5
1,0.585,0.47,0.165,1.409,10
1,0.46,0.355,0.11,0.415,12
0,0.56,0.43,0.15,0.8745,8
1,0.61,0.47,0.155,1.0325,9
1,0.61,0.365,0.155,1.0765,9
1,0.655,0.55,0.18,1.274,10
0,0.465,0.35,0.115,0.421,9
0,0.575,0.45,0.17,1.0475,18
0,0.55,0.47,0.15,0.897,9
0,0.495,0.4,0.155,0.6445,17
1,0.26,0.2,0.065,0.096,6
0,0.45,0.355,0.105,0.5225,8
1,0.695,0.55,0.195,1.6645,11
0,0.505,0.39,0.16,0.644,9
0,0.68,0.56,0.195,1.7775,11
1,0.605,0.475,0.16,1.616,18
1,0.445,0.345,0.09,0.3795,10
0,0.6,0.5,0.16,1.122,10
1,0.755,0.58,0.205,2.0065,10
0,0.48,0.365,0.135,0.6395,8
1,0.55,0.46,0.13,0.7085,12
1,0.57,0.48,0.18,0.9395,14
1,0.535,0.43,0.14,0.7165,8
0,0.6,0.475,0.155,1.059,11
0,0.575,0.46,0.165,1.065,8
0,0.605,0.495,0.17,1.0915,13
0,0.59,0.465,0.15,1.151,9
1,0.44,0.325,0.08,0.413,8
1,0.575,0.475,0.16,1.114,9
1,0.71,0.565,0.2,1.601,11
1,0.49,0.385,0.125,0.609,8
0,0.53,0.4,0.165,0.772,12
1,0.565,0.445,0.14,0.836,9
1,0.505,0.395,0.125,0.635,9
1,0.61,0.49,0.16,1.146,8
0,0.55,0.45,0.145,0.741,10
1,0.62,0.47,0.145,1.0865,10
1,0.595,0.48,0.185,1.1785,10
1,0.57,0.455,0.15,0.96,11
1,0.485,0.39,0.085,0.6435,8
0,0.45,0.36,0.125,0.4995,13
0,0.565,0.44,0.15,0.863,9
0,0.58,0.46,0.135,0.926,8
1,0.61,0.48,0.15,1.1495,8
1,0.38,0.235,0.1,0.258,7
1,0.43,0.335,0.12,0.397,7
0,0.64,0.505,0.165,1.2235,10
1,0.76,0.605,0.215,2.173,13
0,0.585,0.46,0.17,1.0835,14
0,0.57,0.45,0.17,1.098,20
0,0.61,0.495,0.185,1.153,8
1,0.6,0.455,0.155,0.945,8
1,0.66,0.535,0.2,1.791,15
1,0.7,0.55,0.2,1.523,13
0,0.495,0.385,0.135,0.6625,11
0,0.52,0.41,0.155,0.727,12
1,0.63,0.47,0.155,1.1325,8
0,0.445,0.355,0.15,0.485,11
0,0.69,0.55,0.18,1.659,9
0,0.6,0.48,0.18,1.0645,10
1,0.335,0.255,0.075,0.1635,8
1,0.695,0.57,0.2,2.033,15
1,0.56,0.46,0.235,0.8395,12
1,0.635,0.515,0.165,1.229,10
1,0.695,0.56,0.185,1.74,10
0,0.485,0.38,0.15,0.605,15
0,0.62,0.485,0.155,1.1945,9
1,0.535,0.435,0.15,0.717,9
0,0.63,0.49,0.17,1.2155,10
1,0.61,0.5,0.165,1.2715,12
1,0.6,0.46,0.155,0.6655,11
1,0.625,0.47,0.145,1.7855,13
1,0.58,0.45,0.14,0.824,10
1,0.645,0.51,0.16,1.33,9
1,0.375,0.305,0.09,0.3245,5
1,0.555,0.445,0.135,0.836,13
1,0.655,0.54,0.215,1.844,22
1,0.485,0.41,0.15,0.696,13
1,0.635,0.475,0.17,1.1935,10
0,0.65,0.5,0.19,1.464,9
1,0.37,0.265,0.075,0.214,6
0,0.585,0.45,0.17,0.8685,22
1,0.595,0.49,0.185,1.185,10
0,0.635,0.51,0.175,1.2125,14
0,0.44,0.34,0.135,0.3975,8
0,0.53,0.42,0.135,0.677,9
1,0.63,0.49,0.155,1.2525,9
0,0.62,0.54,0.165,1.139,11
0,0.625,0.485,0.15,1.0945,10
0,0.55,0.415,0.135,0.7635,9
0,0.69,0.54,0.155,1.454,9
1,0.63,0.505,0.155,1.105,11
1,0.62,0.5,0.2,1.221,12
0,0.625,0.52,0.18,1.354,11
1,0.64,0.5,0.185,1.3035,16
1,0.56,0.44,0.16,0.8645,10
0,0.635,0.495,0.015,1.1565,9
0,0.37,0.275,0.1,0.2225,8
1,0.255,0.195,0.065,0.08,8
0,0.61,0.47,0.165,1.1785,11
1,0.535,0.42,0.16,0.7465,10
1,0.685,0.535,0.155,1.3845,10
0,0.6,0.48,0.17,1.056,10
0,0.595,0.465,0.15,1.0765,9
0,0.505,0.38,0.135,0.6855,9
1,0.55,0.435,0.14,0.7625,10
1,0.615,0.475,0.205,1.337,11
1,0.59,0.47,0.18,1.187,9
0,0.58,0.45,0.15,0.92,9
1,0.55,0.425,0.155,0.9175,13
0,0.51,0.37,0.21,1.183,9
0,0.63,0.475,0.15,1.172,11
1,0.705,0.56,0.165,1.675,10
0,0.61,0.49,0.17,1.137,12
1,0.625,0.48,0.145,1.085,10
0,0.485,0.395,0.16,0.66,14
0,0.575,0.45,0.135,0.8285,10
1,0.545,0.41,0.12,0.793,9
0,0.67,0.53,0.205,1.4015,12
1,0.68,0.515,0.17,1.6115,11
1,0.495,0.395,0.12,0.553,8
0,0.465,0.35,0.135,0.6265,8
1,0.535,0.42,0.16,0.72,15
0,0.59,0.455,0.145,1.063,8
1,0.58,0.49,0.13,1.1335,9
1,0.33,0.25,0.09,0.197,10
0,0.71,0.54,0.205,1.5805,10
0,0.625,0.485,0.135,1.3025,14
0,0.66,0.5,0.155,1.3765,12
1,0.51,0.415,0.14,0.8185,16
0,0.545,0.445,0.175,0.8525,13
0,0.36,0.27,0.09,0.1885,5
1,0.67,0.525,0.17,1.4005,9
1,0.47,0.37,0.12,0.5795,9
1,0.65,0.515,0.185,1.3745,12
1,0.62,0.495,0.195,1.5145,15
0,0.635,0.495,0.18,1.596,11
0,0.52,0.4,0.13,0.6245,15
1,0.585,0.46,0.165,1.1135,10
0,0.44,0.34,0.1,0.451,10
1,0.275,0.2,0.08,0.099,5
0,0.58,0.425,0.155,0.873,10
0,0.56,0.43,0.15,0.8825,9
0,0.505,0.39,0.125,0.5445,7
1,0.53,0.42,0.165,0.8945,11
1,0.645,0.5,0.175,1.286,12
1,0.58,0.455,0.15,1.114,8
1,0.605,0.475,0.155,1.161,9
0,0.68,0.55,0.2,1.596,21
0,0.735,0.565,0.205,2.1275,12
1,0.285,0.215,0.075,0.106,5
0,0.42,0.33,0.125,0.463,10
0,0.53,0.385,0.125,0.6695,10
0,0.605,0.49,0.15,1.1345,9
0,0.705,0.53,0.17,1.564,10
1,0.355,0.29,0.09,0.3275,9
1,0.67,0.545,0.2,1.7025,11
0,0.6,0.48,0.165,1.1345,10
0,0.705,0.535,0.22,1.866,10
1,0.7,0.565,0.18,1.751,9
1,0.59,0.45,0.185,1.283,16
1,0.575,0.45,0.155,0.886,9
0,0.475,0.365,0.115,0.566,7
